PS,TS,QV2M,WS2M,T2M_MAX,T2M_MIN,ALLSKY_KT,CLOUD_AMT,PRECTOTCORR,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_PAR_TOT,YEAR,DISTRICT
96.99,25.39,10.81,1.97,46.51,1.57,0.57,37.74,3.15,1.07,0.03,18.81,8.51,2011.0,Sheopur
97.0,25.3,9.69,2.08,46.53,2.56,0.57,41.26,2.0,1.05,0.03,18.53,8.33,2012.0,Sheopur
97.03,24.8,10.97,1.99,46.43,1.71,0.56,42.79,3.26,1.04,0.03,18.22,8.23,2013.0,Sheopur
97.11,25.8,10.34,2.15,47.57,3.91,0.58,39.37,2.25,1.09,0.03,18.97,8.58,2014.0,Sheopur
97.16,25.84,10.4,2.05,46.29,4.28,0.57,39.19,2.3,1.07,0.03,18.81,8.47,2015.0,Sheopur
97.05,26.28,10.31,1.94,48.01,4.79,0.57,42.07,2.47,1.06,0.03,18.64,8.39,2016.0,Sheopur
97.04,27.31,9.35,2.13,47.07,3.84,0.58,44.04,1.26,1.07,0.03,18.88,8.49,2017.0,Sheopur
97.03,26.82,9.54,2.14,46.34,4.5,0.56,44.61,1.62,1.04,0.03,18.41,8.28,2018.0,Sheopur
97.08,25.38,11.09,2.04,45.35,5.17,0.56,43.33,3.23,1.07,0.03,18.58,8.4,2001.0,Shivpuri
97.11,26.03,10.51,2.07,46.61,6.2,0.57,42.22,2.73,1.07,0.03,18.76,8.47,2002.0,Shivpuri
97.15,25.46,11.16,1.96,47.04,4.87,0.55,47.77,3.4,1.05,0.03,18.11,8.18,2003.0,Shivpuri
97.14,25.55,10.97,2.05,45.87,4.74,0.58,42.64,2.5,1.09,0.03,18.99,8.55,2004.0,Shivpuri
97.13,25.64,10.82,2.02,46.08,5.78,0.57,43.79,3.41,1.07,0.03,18.7,8.39,2005.0,Shivpuri
97.12,26.69,10.99,2.05,45.18,5.25,0.56,46.45,2.0,1.07,0.03,18.52,8.37,2006.0,Shivpuri
97.11,26.23,10.92,2.06,46.24,7.19,0.57,42.89,2.07,1.07,0.03,18.68,8.4,2007.0,Shivpuri
97.09,25.43,11.3,1.92,44.48,4.76,0.55,43.29,2.7,1.03,0.03,18.12,8.13,2008.0,Shivpuri
97.1,26.95,10.5,2.1,45.45,6.98,0.57,40.86,1.88,1.07,0.03,18.84,8.45,2009.0,Shivpuri
97.1,27.15,10.86,1.88,46.0,6.35,0.57,44.67,1.96,1.08,0.03,18.87,8.49,2010.0,Shivpuri
97.08,25.58,11.35,1.86,45.65,4.82,0.56,40.21,3.0,1.05,0.03,18.36,8.28,2011.0,Shivpuri
97.07,25.47,10.69,2.05,47.37,3.74,0.56,43.34,3.05,1.05,0.03,18.51,8.29,2012.0,Shivpuri
97.1,24.99,11.86,1.95,46.86,1.92,0.55,45.48,3.9,1.03,0.03,18.09,8.12,2013.0,Shivpuri
97.18,25.46,11.25,1.99,47.64,5.38,0.55,45.47,2.41,1.04,0.03,18.27,8.23,2014.0,Shivpuri
97.24,26.19,11.31,1.94,46.68,4.58,0.55,43.73,2.52,1.03,0.03,18.26,8.19,2015.0,Shivpuri
97.13,26.13,11.27,1.93,45.91,5.67,0.54,46.92,3.33,1.01,0.03,17.87,8.03,2016.0,Shivpuri
97.12,26.57,10.92,1.95,47.33,3.91,0.56,42.85,2.08,1.05,0.03,18.58,8.33,2017.0,Shivpuri
97.12,26.45,10.72,2.04,46.14,4.55,0.55,43.52,2.32,1.02,0.03,18.13,8.15,2018.0,Shivpuri
95.99,25.15,11.16,2.09,44.46,5.2,0.55,49.4,3.26,1.06,0.03,18.22,8.28,2001.0,Sidhi
96.02,25.77,10.55,2.09,45.8,7.32,0.57,46.55,2.56,1.08,0.03,18.66,8.48,2002.0,Sidhi
96.05,25.26,11.21,1.97,45.97,5.51,0.55,52.19,3.18,1.06,0.03,18.02,8.21,2003.0,Sidhi
96.05,25.36,11.02,2.06,44.54,5.32,0.57,46.7,2.64,1.1,0.03,18.87,8.56,2004.0,Sidhi
96.04,25.42,10.82,2.04,44.87,7.15,0.56,49.32,3.06,1.08,0.03,18.52,8.38,2005.0,Sidhi
96.03,26.17,11.15,2.08,44.79,6.03,0.55,48.78,2.25,1.07,0.03,18.16,8.28,2006.0,Sidhi
96.02,25.59,11.2,2.06,45.03,8.01,0.55,45.2,2.46,1.06,0.03,18.23,8.28,2007.0,Sidhi
96.0,25.13,11.27,1.96,43.8,5.4,0.54,44.06,2.92,1.03,0.03,17.84,8.09,2008.0,Sidhi
96.01,26.65,10.48,2.08,44.85,8.12,0.56,42.23,1.95,1.07,0.03,18.57,8.39,2009.0,Sidhi
96.01,26.86,10.91,1.93,44.94,7.01,0.56,45.61,2.05,1.07,0.03,18.46,8.39,2010.0,Sidhi
95.99,25.21,11.49,1.9,44.65,4.89,0.54,41.84,3.24,1.04,0.03,17.93,8.16,2011.0,Sidhi
95.97,25.13,10.75,2.03,46.5,4.05,0.55,44.49,2.98,1.04,0.03,18.14,8.19,2012.0,Sidhi
96.01,24.77,11.86,1.96,45.74,3.26,0.54,46.16,3.77,1.04,0.03,17.94,8.13,2013.0,Sidhi
96.09,25.09,11.42,2.02,46.76,5.76,0.55,46.13,2.77,1.05,0.03,18.06,8.2,2014.0,Sidhi
96.15,25.57,11.57,1.94,45.63,5.02,0.54,44.64,2.86,1.02,0.03,17.89,8.07,2015.0,Sidhi
96.04,25.79,11.39,1.93,45.01,6.26,0.53,48.89,3.61,1.01,0.03,17.46,7.91,2016.0,Sidhi
96.03,26.31,10.98,1.96,46.54,6.22,0.56,42.51,2.36,1.06,0.03,18.41,8.33,2017.0,Sidhi
96.03,26.01,10.83,2.08,45.22,5.22,0.55,42.45,2.66,1.04,0.03,18.05,8.19,2018.0,Sidhi
96.38,25.59,10.3,2.1,46.2,5.72,0.57,45.35,2.67,1.09,0.03,18.79,8.5,2001.0,Singrauli
96.4,26.88,9.51,2.27,46.4,5.83,0.58,41.39,2.01,1.1,0.03,19.15,8.65,2002.0,Singrauli
96.43,25.74,10.75,2.16,46.58,5.28,0.56,47.11,2.68,1.07,0.03,18.37,8.33,2003.0,Singrauli
96.42,25.95,10.46,2.13,45.7,4.98,0.58,42.38,2.31,1.1,0.03,19.04,8.61,2004.0,Singrauli
96.41,25.68,10.3,2.18,45.37,6.53,0.58,44.29,2.62,1.1,0.03,19.1,8.6,2005.0,Singrauli
96.41,26.28,10.8,2.12,45.97,7.51,0.56,44.5,2.83,1.08,0.03,18.6,8.43,2006.0,Singrauli
96.39,25.7,10.54,2.07,45.15,7.21,0.57,42.1,2.56,1.09,0.03,18.87,8.52,2007.0,Singrauli
96.39,25.28,10.91,2.0,43.88,4.76,0.56,46.28,2.85,1.05,0.03,18.39,8.3,2008.0,Singrauli
96.39,26.85,10.44,2.14,44.89,6.91,0.58,43.4,2.13,1.09,0.03,18.96,8.55,2009.0,Singrauli
96.38,26.5,10.95,1.99,46.42,6.15,0.57,47.27,2.56,1.09,0.03,18.88,8.55,2010.0,Singrauli
96.37,25.33,11.15,1.98,45.72,2.73,0.56,43.46,4.3,1.06,0.03,18.43,8.35,2011.0,Singrauli
96.36,25.59,10.23,2.19,46.5,4.15,0.56,47.54,2.34,1.06,0.03,18.49,8.33,2012.0,Singrauli
96.38,24.98,11.54,2.09,46.62,3.01,0.54,49.23,4.26,1.02,0.03,17.71,8.0,2013.0,Singrauli
96.47,25.76,10.84,2.2,47.48,3.74,0.57,45.06,2.64,1.08,0.03,18.7,8.46,2014.0,Singrauli
96.53,25.48,11.13,2.09,45.85,4.47,0.55,45.1,2.86,1.04,0.03,18.27,8.24,2015.0,Singrauli
96.43,26.03,10.85,2.04,46.61,4.88,0.55,48.93,3.3,1.04,0.03,18.13,8.17,2016.0,Singrauli
96.42,26.82,10.16,2.13,46.49,4.64,0.57,43.27,1.86,1.07,0.03,18.63,8.39,2017.0,Singrauli
96.4,26.28,10.31,2.13,46.75,3.38,0.55,43.17,2.85,1.02,0.03,18.03,8.11,2018.0,Singrauli
95.03,26.71,9.47,2.62,44.51,6.52,0.57,40.14,1.4,1.09,0.03,18.98,8.54,2001.0,Tikamgarh
95.07,26.75,9.48,2.82,45.85,6.32,0.58,35.9,1.68,1.11,0.03,19.39,8.71,2002.0,Tikamgarh
95.09,25.7,10.71,2.69,43.75,6.23,0.57,39.03,3.01,1.08,0.03,18.85,8.48,2003.0,Tikamgarh
95.08,26.18,10.31,2.6,44.03,7.18,0.58,38.95,2.17,1.1,0.03,19.21,8.65,2004.0,Tikamgarh
95.06,26.12,9.73,2.58,43.93,7.03,0.58,39.61,2.1,1.11,0.03,19.3,8.64,2005.0,Tikamgarh
95.06,26.07,10.84,2.53,44.43,8.16,0.57,39.77,3.02,1.08,0.03,18.75,8.45,2006.0,Tikamgarh
95.03,26.04,10.5,2.43,44.23,9.25,0.58,40.03,2.47,1.11,0.03,19.21,8.65,2007.0,Tikamgarh
95.03,26.37,9.87,2.63,43.42,5.52,0.57,43.22,1.53,1.07,0.03,18.81,8.43,2008.0,Tikamgarh
95.06,26.75,10.59,2.64,44.69,8.65,0.58,36.61,2.51,1.1,0.03,19.32,8.66,2009.0,Tikamgarh
95.03,26.5,11.25,2.48,45.72,6.96,0.58,41.08,2.37,1.1,0.03,19.09,8.59,2010.0,Tikamgarh
95.01,25.93,10.59,2.51,43.86,5.12,0.56,38.26,2.58,1.07,0.03,18.64,8.39,2011.0,Tikamgarh
95.03,25.67,10.12,2.77,42.99,5.14,0.56,43.47,2.37,1.06,0.03,18.53,8.31,2012.0,Tikamgarh
95.04,25.05,11.23,2.64,44.44,5.12,0.53,46.58,3.77,1.01,0.03,17.53,7.9,2013.0,Tikamgarh
95.14,26.13,10.61,2.71,44.54,5.02,0.57,41.42,2.23,1.07,0.03,18.76,8.43,2014.0,Tikamgarh
95.18,25.96,10.63,2.67,45.16,6.27,0.56,40.76,3.16,1.05,0.03,18.43,8.28,2015.0,Tikamgarh
95.11,25.81,10.45,2.57,46.9,5.91,0.56,44.09,2.89,1.06,0.03,18.52,8.31,2016.0,Tikamgarh
95.09,25.92,10.33,2.55,43.96,4.53,0.56,42.15,2.27,1.07,0.03,18.74,8.39,2017.0,Tikamgarh
95.09,26.36,9.67,2.57,45.51,4.85,0.55,40.25,2.04,1.04,0.03,18.39,8.23,2018.0,Tikamgarh
95.24,24.98,10.81,2.11,45.54,5.81,0.55,48.94,3.76,1.05,0.03,18.19,8.2,2001.0,Ujjain
95.27,25.63,10.26,2.21,45.75,5.99,0.56,45.61,2.95,1.06,0.03,18.5,8.32,2002.0,Ujjain
95.3,25.12,11.11,2.13,46.38,4.76,0.54,50.32,4.2,1.04,0.03,17.88,8.07,2003.0,Ujjain
95.3,24.95,10.97,2.02,44.81,5.66,0.56,44.69,3.15,1.08,0.03,18.72,8.42,2004.0,Ujjain
95.29,24.91,10.75,2.02,45.07,6.48,0.56,47.52,4.31,1.06,0.03,18.48,8.28,2005.0,Ujjain
95.28,25.82,10.98,2.07,44.65,7.04,0.55,47.72,2.55,1.06,0.03,18.18,8.21,2006.0,Ujjain
95.27,25.21,10.79,2.02,45.21,7.51,0.56,46.49,2.77,1.06,0.03,18.46,8.3,2007.0,Ujjain
95.25,24.99,10.87,1.97,43.85,4.13,0.55,47.33,3.11,1.04,0.03,18.26,8.18,2008.0,Ujjain
95.26,26.12,10.55,2.0,44.87,8.15,0.57,43.81,2.8,1.07,0.03,18.76,8.4,2009.0,Ujjain
95.26,26.11,11.12,1.88,45.67,5.41,0.56,49.05,3.14,1.08,0.03,18.66,8.39,2010.0,Ujjain
95.24,24.95,11.25,1.91,44.68,2.05,0.54,45.76,3.82,1.04,0.03,18.08,8.14,2011.0,Ujjain
95.22,24.94,10.58,2.08,46.15,3.43,0.55,47.95,3.4,1.04,0.03,18.19,8.14,2012.0,Ujjain
95.24,24.62,11.76,1.98,46.61,4.08,0.53,50.97,4.91,1.01,0.03,17.55,7.89,2013.0,Ujjain
95.34,24.95,11.39,2.06,47.36,3.83,0.55,48.95,3.01,1.05,0.03,18.19,8.18,2014.0,Ujjain
95.4,25.22,11.5,1.98,45.42,4.3,0.54,48.34,2.89,1.03,0.03,18.09,8.11,2015.0,Ujjain
95.3,25.52,11.17,1.98,45.38,4.63,0.54,51.29,3.68,1.02,0.03,17.86,8.0,2016.0,Ujjain
95.29,26.26,10.56,2.01,45.92,3.3,0.56,44.85,2.23,1.06,0.03,18.59,8.32,2017.0,Ujjain
95.28,25.81,10.49,2.11,45.42,5.8,0.54,44.63,3.06,1.01,0.03,17.83,7.99,2018.0,Ujjain
95.57,25.56,10.3,2.17,46.28,5.56,0.56,45.82,3.01,1.09,0.03,18.73,8.48,2001.0,Umaria
95.59,26.52,9.79,2.35,45.98,5.46,0.58,41.86,2.67,1.1,0.03,19.15,8.64,2002.0,Umaria
95.62,25.64,10.89,2.26,46.31,4.99,0.56,45.56,3.78,1.08,0.03,18.54,8.39,2003.0,Umaria
95.61,26.1,10.43,2.2,46.01,4.8,0.57,40.98,2.72,1.1,0.03,19.01,8.59,2004.0,Umaria
95.6,25.63,10.28,2.23,45.11,5.69,0.57,43.49,3.75,1.1,0.03,19.05,8.57,2005.0,Umaria
95.6,26.01,11.04,2.13,45.55,6.34,0.56,44.68,4.31,1.08,0.03,18.57,8.42,2006.0,Umaria
95.58,25.76,10.57,2.12,44.9,6.7,0.57,42.9,3.02,1.1,0.03,18.98,8.57,2007.0,Umaria
95.57,25.61,10.58,2.11,43.92,4.29,0.56,46.3,2.87,1.07,0.03,18.67,8.42,2008.0,Umaria
95.58,26.41,10.68,2.19,45.22,7.5,0.57,42.41,3.21,1.09,0.03,19.02,8.57,2009.0,Umaria
95.57,26.33,11.21,2.09,46.23,4.92,0.57,47.22,3.02,1.1,0.03,18.98,8.59,2010.0,Umaria
95.55,25.53,10.99,2.1,45.7,2.33,0.55,43.6,4.32,1.06,0.03,18.36,8.31,2011.0,Umaria
95.55,25.63,10.27,2.33,45.25,4.03,0.55,46.56,3.32,1.05,0.03,18.32,8.26,2012.0,Umaria
95.56,25.21,11.54,2.3,46.51,3.24,0.53,48.62,4.88,1.01,0.03,17.47,7.9,2013.0,Umaria
95.66,25.8,10.94,2.36,47.19,3.69,0.56,46.68,2.92,1.07,0.03,18.63,8.41,2014.0,Umaria
95.72,26.0,10.93,2.27,46.43,4.27,0.54,46.2,3.45,1.04,0.03,18.08,8.17,2015.0,Umaria
95.62,26.07,10.66,2.17,46.92,3.97,0.55,47.94,4.17,1.05,0.03,18.3,8.24,2016.0,Umaria
95.61,26.73,10.19,2.21,46.13,2.91,0.56,44.23,2.21,1.06,0.03,18.57,8.35,2017.0,Umaria
95.6,26.39,10.02,2.23,46.16,3.9,0.54,43.01,2.49,1.02,0.03,18.06,8.11,2018.0,Umaria
94.16,26.99,10.74,2.88,43.68,9.77,0.57,43.36,1.43,1.13,0.03,19.31,8.75,2001.0,Ahmednagar
94.22,27.81,10.36,2.91,43.21,8.74,0.57,41.69,1.28,1.13,0.03,19.32,8.75,2002.0,Ahmednagar
94.21,28.03,10.65,2.88,42.94,9.48,0.58,41.96,1.2,1.15,0.03,19.66,8.89,2003.0,Ahmednagar
94.22,26.75,11.04,2.84,42.48,10.24,0.57,41.73,1.8,1.14,0.03,19.53,8.85,2004.0,Ahmednagar
94.2,26.04,11.22,2.8,43.03,9.1,0.56,43.95,2.54,1.13,0.03,19.16,8.68,2005.0,Ahmednagar
94.21,26.17,11.7,2.73,42.33,8.32,0.56,44.3,2.69,1.11,0.03,18.95,8.57,2006.0,Ahmednagar
94.16,26.68,11.32,2.69,43.13,9.61,0.57,42.65,1.87,1.13,0.03,19.33,8.75,2007.0,Ahmednagar
94.16,26.73,11.01,2.79,42.46,8.56,0.57,41.76,1.66,1.11,0.03,19.27,8.68,2008.0,Ahmednagar
94.18,27.27,11.19,2.78,42.84,9.75,0.57,41.96,1.93,1.13,0.03,19.48,8.77,2009.0,Ahmednagar
94.15,26.95,12.3,2.67,44.15,7.78,0.55,49.18,2.26,1.11,0.03,18.85,8.58,2010.0,Ahmednagar
94.14,26.58,11.19,2.78,42.2,7.55,0.56,42.35,1.74,1.1,0.03,18.98,8.55,2011.0,Ahmednagar
94.15,27.42,10.5,2.93,42.02,8.98,0.57,41.74,1.29,1.11,0.03,19.23,8.63,2012.0,Ahmednagar
94.15,26.81,11.59,2.95,42.65,8.49,0.54,46.12,1.91,1.06,0.03,18.26,8.23,2013.0,Ahmednagar
94.25,27.17,11.46,2.77,42.18,8.04,0.56,43.34,1.73,1.1,0.03,18.97,8.55,2014.0,Ahmednagar
94.3,27.59,11.32,2.72,42.35,8.44,0.56,43.66,1.72,1.09,0.03,18.97,8.53,2015.0,Ahmednagar
94.24,27.11,10.82,2.78,42.66,9.47,0.55,44.54,1.71,1.08,0.03,18.76,8.43,2016.0,Ahmednagar
94.22,27.09,10.88,2.7,42.76,8.75,0.57,43.96,1.94,1.11,0.03,19.23,8.62,2017.0,Ahmednagar
94.22,28.17,9.97,2.81,42.64,7.07,0.55,44.2,0.8,1.06,0.03,18.7,8.37,2018.0,Ahmednagar
96.28,27.52,10.86,2.45,45.93,9.28,0.55,49.17,2.12,1.09,0.03,18.73,8.53,2001.0,Akola
96.33,28.28,10.35,2.65,46.1,8.05,0.56,45.16,1.96,1.11,0.03,19.04,8.67,2002.0,Akola
96.33,27.8,11.25,2.6,45.49,7.97,0.56,49.22,2.26,1.11,0.03,18.93,8.62,2003.0,Akola
96.34,27.93,10.86,2.51,44.6,8.68,0.58,43.54,1.7,1.14,0.03,19.6,8.92,2004.0,Akola
96.32,27.13,11.03,2.52,45.12,8.78,0.56,46.6,2.54,1.1,0.03,18.9,8.6,2005.0,Akola
96.33,27.03,11.96,2.35,44.87,8.14,0.55,48.99,3.69,1.09,0.03,18.73,8.53,2006.0,Akola
96.28,27.7,11.04,2.35,45.24,10.21,0.57,47.66,2.21,1.11,0.03,19.22,8.72,2007.0,Akola
96.28,27.86,10.7,2.45,44.42,7.67,0.56,47.92,1.76,1.08,0.03,18.79,8.51,2008.0,Akola
96.29,28.29,11.05,2.48,45.38,9.84,0.57,46.27,2.25,1.1,0.03,19.13,8.64,2009.0,Akola
96.28,27.78,12.22,2.41,46.69,7.42,0.55,50.64,3.02,1.09,0.03,18.63,8.49,2010.0,Akola
96.27,27.41,11.3,2.36,44.2,5.95,0.55,47.61,2.15,1.08,0.03,18.76,8.51,2011.0,Akola
96.28,27.44,10.9,2.55,44.23,7.55,0.55,49.79,2.31,1.08,0.03,18.67,8.44,2012.0,Akola
96.27,27.03,11.97,2.63,46.0,8.28,0.52,50.48,2.96,1.02,0.03,17.73,8.04,2013.0,Akola
96.38,28.25,11.26,2.55,45.27,7.58,0.55,50.33,2.01,1.07,0.03,18.55,8.41,2014.0,Akola
96.43,27.95,11.47,2.45,45.89,7.7,0.56,48.2,2.59,1.08,0.03,18.79,8.5,2015.0,Akola
96.35,27.56,11.06,2.43,46.56,7.6,0.55,50.45,2.78,1.08,0.03,18.76,8.47,2016.0,Akola
96.34,27.96,10.77,2.41,45.16,8.13,0.56,48.49,2.0,1.09,0.03,19.06,8.58,2017.0,Akola
96.35,27.88,10.36,2.35,45.37,5.72,0.54,47.26,2.31,1.03,0.03,18.22,8.19,2018.0,Akola
96.44,27.26,10.98,2.38,46.26,8.71,0.55,49.17,2.39,1.09,0.03,18.73,8.53,2001.0,Amravati
96.48,28.1,10.39,2.58,46.79,8.64,0.56,45.16,2.18,1.11,0.03,19.04,8.67,2002.0,Amravati
96.49,27.43,11.43,2.51,46.22,8.14,0.56,49.22,2.8,1.11,0.03,18.93,8.62,2003.0,Amravati
96.49,27.98,10.78,2.45,45.51,9.33,0.58,43.54,1.78,1.14,0.03,19.6,8.92,2004.0,Amravati
96.47,27.1,10.94,2.46,45.87,8.55,0.56,46.6,2.71,1.1,0.03,18.9,8.6,2005.0,Amravati
96.49,27.11,11.96,2.3,45.77,8.82,0.55,48.99,3.66,1.09,0.03,18.73,8.53,2006.0,Amravati
96.45,27.67,10.96,2.3,45.8,10.23,0.57,47.66,2.34,1.11,0.03,19.22,8.72,2007.0,Amravati
96.44,27.62,10.72,2.34,44.92,8.39,0.56,47.92,2.0,1.08,0.03,18.79,8.51,2008.0,Amravati
96.45,28.3,11.01,2.41,45.79,10.07,0.57,46.27,2.38,1.1,0.03,19.13,8.64,2009.0,Amravati
96.44,27.86,12.04,2.35,46.31,7.89,0.55,50.64,3.24,1.09,0.03,18.63,8.49,2010.0,Amravati
96.43,27.34,11.3,2.27,45.15,5.9,0.55,47.61,2.3,1.08,0.03,18.76,8.51,2011.0,Amravati
96.43,27.29,10.93,2.54,45.25,7.71,0.55,49.79,2.63,1.08,0.03,18.67,8.44,2012.0,Amravati
96.43,27.04,11.96,2.55,47.23,8.9,0.52,50.48,3.39,1.02,0.03,17.73,8.04,2013.0,Amravati
96.54,28.26,11.14,2.52,46.57,8.62,0.55,50.33,2.15,1.07,0.03,18.55,8.41,2014.0,Amravati
96.6,27.59,11.62,2.4,46.55,7.93,0.56,48.2,2.96,1.08,0.03,18.79,8.5,2015.0,Amravati
96.5,27.67,11.06,2.4,46.37,8.21,0.55,50.45,2.85,1.08,0.03,18.76,8.47,2016.0,Amravati
96.5,27.98,10.78,2.36,45.96,8.37,0.56,48.49,2.03,1.09,0.03,19.06,8.58,2017.0,Amravati
96.5,27.97,10.34,2.32,45.87,6.47,0.54,47.26,2.15,1.03,0.03,18.22,8.19,2018.0,Amravati
94.56,26.9,10.47,2.63,44.31,9.85,0.57,44.74,1.73,1.12,0.03,19.33,8.75,2001.0,Aurangabad
94.61,27.62,10.19,2.77,44.75,8.85,0.57,41.71,1.68,1.12,0.03,19.36,8.77,2002.0,Aurangabad
94.6,27.62,10.72,2.75,43.89,8.46,0.58,43.96,1.68,1.15,0.03,19.71,8.91,2003.0,Aurangabad
94.62,26.89,10.83,2.66,42.89,9.34,0.58,42.22,1.9,1.15,0.03,19.76,8.95,2004.0,Aurangabad
94.59,26.03,10.91,2.62,43.39,9.1,0.57,45.14,2.84,1.12,0.03,19.24,8.7,2005.0,Aurangabad
94.61,26.13,11.59,2.49,43.03,8.5,0.56,45.71,3.33,1.1,0.03,19.0,8.59,2006.0,Aurangabad
94.56,26.51,11.17,2.48,43.41,10.22,0.58,43.5,2.26,1.13,0.03,19.6,8.85,2007.0,Aurangabad
94.56,26.9,10.66,2.62,43.07,8.36,0.57,43.59,1.73,1.1,0.03,19.23,8.66,2008.0,Aurangabad
94.58,27.28,10.94,2.6,43.55,9.68,0.57,42.54,2.16,1.12,0.03,19.47,8.75,2009.0,Aurangabad
94.55,26.84,12.11,2.47,44.87,7.47,0.55,50.29,2.58,1.1,0.03,18.85,8.56,2010.0,Aurangabad
94.54,26.54,11.0,2.52,42.83,6.81,0.56,42.92,2.01,1.1,0.03,19.12,8.6,2011.0,Aurangabad
94.55,27.12,10.43,2.75,41.98,8.29,0.56,44.8,1.67,1.1,0.03,19.12,8.58,2012.0,Aurangabad
94.55,26.36,11.6,2.79,43.37,8.22,0.54,47.49,2.38,1.05,0.03,18.26,8.23,2013.0,Aurangabad
94.66,27.02,11.31,2.61,42.84,7.5,0.56,45.58,1.86,1.09,0.03,18.97,8.55,2014.0,Aurangabad
94.7,27.38,11.15,2.51,43.67,8.33,0.56,44.57,2.2,1.09,0.03,19.06,8.58,2015.0,Aurangabad
94.63,26.86,10.76,2.56,44.36,8.46,0.55,47.22,2.2,1.08,0.03,18.88,8.48,2016.0,Aurangabad
94.62,26.82,10.74,2.51,42.78,8.75,0.57,46.89,2.33,1.1,0.03,19.33,8.65,2017.0,Aurangabad
94.62,27.67,9.86,2.58,43.75,6.5,0.55,45.62,1.51,1.05,0.03,18.61,8.32,2018.0,Aurangabad
94.46,27.22,10.69,2.77,44.32,9.71,0.56,43.75,1.63,1.13,0.03,19.33,8.8,2001.0,Beed
94.51,28.03,10.33,2.79,43.43,8.86,0.57,40.74,1.51,1.14,0.03,19.52,8.89,2002.0,Beed
94.5,28.32,10.65,2.83,43.67,9.67,0.57,42.73,1.31,1.15,0.03,19.64,8.95,2003.0,Beed
94.52,27.06,11.01,2.73,42.98,9.53,0.58,40.13,1.92,1.16,0.03,19.82,9.04,2004.0,Beed
94.5,26.42,11.19,2.71,43.5,9.41,0.56,43.83,2.61,1.12,0.03,19.2,8.75,2005.0,Beed
94.51,26.52,11.66,2.63,42.87,8.71,0.56,43.7,2.8,1.11,0.03,19.1,8.7,2006.0,Beed
94.46,27.03,11.19,2.6,43.51,10.18,0.57,44.17,1.97,1.13,0.03,19.49,8.87,2007.0,Beed
94.46,27.08,10.95,2.69,43.01,8.91,0.57,43.95,1.76,1.11,0.03,19.34,8.77,2008.0,Beed
94.48,27.52,11.11,2.68,43.15,10.07,0.57,43.95,2.06,1.12,0.03,19.44,8.8,2009.0,Beed
94.45,27.23,12.22,2.57,44.91,7.68,0.55,50.61,2.41,1.1,0.03,18.83,8.61,2010.0,Beed
94.44,26.99,11.12,2.71,42.81,7.33,0.56,43.06,1.79,1.09,0.03,19.0,8.59,2011.0,Beed
94.45,27.71,10.45,2.83,42.37,9.41,0.56,44.18,1.46,1.11,0.03,19.23,8.69,2012.0,Beed
94.45,27.04,11.61,2.86,43.02,8.99,0.54,47.35,2.11,1.07,0.03,18.52,8.41,2013.0,Beed
94.55,27.53,11.42,2.69,42.7,8.39,0.55,46.87,1.8,1.09,0.03,18.88,8.56,2014.0,Beed
94.6,28.02,11.2,2.65,43.64,8.75,0.56,45.4,1.8,1.1,0.03,19.11,8.66,2015.0,Beed
94.53,27.38,10.8,2.65,43.39,9.21,0.55,46.0,1.98,1.08,0.03,18.73,8.47,2016.0,Beed
94.52,27.48,10.71,2.6,43.2,8.72,0.56,48.8,1.96,1.1,0.03,19.29,8.68,2017.0,Beed
94.52,28.48,9.84,2.7,43.09,7.01,0.54,48.63,1.05,1.04,0.03,18.47,8.32,2018.0,Beed
97.53,27.19,11.74,2.03,47.85,7.79,0.54,56.2,3.23,1.08,0.03,18.22,8.32,2001.0,Bhandara
97.56,28.0,11.12,2.24,47.13,7.82,0.55,51.79,2.84,1.09,0.03,18.63,8.5,2002.0,Bhandara
97.58,27.54,12.03,2.18,47.94,7.61,0.54,55.47,3.67,1.08,0.03,18.25,8.35,2003.0,Bhandara
97.59,27.75,11.62,2.08,46.9,7.45,0.57,49.53,2.36,1.12,0.03,19.02,8.67,2004.0,Bhandara
97.57,27.13,11.68,2.07,46.96,7.84,0.55,53.26,3.71,1.08,0.03,18.36,8.35,2005.0,Bhandara
97.58,27.36,12.37,2.01,46.42,7.86,0.54,52.41,3.65,1.08,0.03,18.26,8.34,2006.0,Bhandara
97.55,27.69,11.54,2.04,46.37,9.84,0.56,51.46,3.06,1.09,0.03,18.72,8.51,2007.0,Bhandara
97.54,27.2,11.59,2.0,46.05,7.76,0.55,51.79,2.84,1.07,0.03,18.32,8.33,2008.0,Bhandara
97.54,28.32,11.5,2.0,47.21,9.77,0.56,50.17,2.94,1.1,0.03,18.86,8.54,2009.0,Bhandara
97.53,28.16,12.26,2.0,47.67,6.79,0.55,54.17,4.15,1.09,0.03,18.43,8.41,2010.0,Bhandara
97.53,27.09,12.08,1.93,46.21,5.42,0.55,49.26,2.99,1.07,0.03,18.39,8.36,2011.0,Bhandara
97.52,27.45,11.38,2.14,47.15,5.39,0.54,52.71,3.61,1.05,0.03,17.99,8.15,2012.0,Bhandara
97.52,27.21,12.48,2.17,48.42,7.96,0.51,54.68,4.71,1.01,0.03,17.3,7.88,2013.0,Bhandara
