YEAR,DISTRICT,AREA,YIELD,PS,TS,QV2M,WS2M,T2M_MAX,T2M_MIN,ALLSKY_KT,CLOUD_AMT,PRECTOTCORR,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_PAR_TOT,Nitrogen(N),Phosphorous(P),Potassium(K),Soil Type,Soil Depth
2017,Balaghat,0.01,1000.0,95.53,26.97,10.92,1.92,45.75,5.6,0.56,46.19,2.74,1.07,0.03,18.76,8.42,Medium ,Medium,Medium,Black,100-300
2001,Chhindwara,90.3,748.0,93.68,24.9,10.6,2.27,44.57,6.85,0.55,50.33,3.03,1.08,0.03,18.33,8.33,Medium ,Medium,High,Black,100-300
2002,Chhindwara,100.7,741.0,93.72,25.77,10.1,2.42,44.51,7.34,0.56,45.98,2.73,1.09,0.03,18.71,8.48,Medium ,Medium,High,Black,100-300
2003,Chhindwara,109.6,1448.0,93.73,25.29,10.98,2.35,45.02,5.84,0.54,49.48,3.77,1.07,0.03,18.2,8.27,Medium ,Medium,High,Black,100-300
2004,Chhindwara,140.09,836.0,93.74,25.68,10.43,2.27,44.27,6.64,0.57,44.71,2.43,1.11,0.03,18.99,8.6,Medium ,Medium,High,Black,100-300
2005,Chhindwara,128.63,891.0,93.72,25.05,10.43,2.28,43.94,7.41,0.56,48.05,3.62,1.09,0.03,18.67,8.43,Medium ,Medium,High,Black,100-300
2006,Chhindwara,139.8,1365.0,93.73,25.25,11.29,2.18,44.04,6.9,0.55,49.42,4.3,1.07,0.03,18.25,8.31,Medium ,Medium,High,Black,100-300
2007,Chhindwara,144.6,1498.0,93.7,25.51,10.49,2.18,42.99,8.96,0.56,47.47,2.99,1.1,0.03,18.84,8.52,Medium ,Medium,High,Black,100-300
2008,Chhindwara,147.9,1193.0,93.69,25.17,10.44,2.18,42.7,5.46,0.55,47.52,2.66,1.07,0.03,18.51,8.36,Medium ,Medium,High,Black,100-300
2009,Chhindwara,157.2,1692.0,93.7,25.95,10.66,2.25,44.1,7.86,0.56,45.15,3.17,1.09,0.03,18.87,8.51,Medium ,Medium,High,Black,100-300
2010,Chhindwara,161.6,1786.0,93.69,25.85,11.38,2.15,44.92,6.57,0.56,49.7,3.64,1.09,0.03,18.68,8.47,Medium ,Medium,High,Black,100-300
2011,Chhindwara,184.7,1737.0,93.67,25.11,10.88,2.14,43.45,4.19,0.55,45.48,3.33,1.06,0.03,18.29,8.28,Medium ,Medium,High,Black,100-300
2012,Chhindwara,153.73,2488.0,93.67,25.18,10.36,2.4,43.57,6.08,0.55,48.18,3.46,1.05,0.03,18.21,8.21,Medium ,Medium,High,Black,100-300
2013,Chhindwara,150.01,769.0,93.67,25.03,11.53,2.31,45.13,6.39,0.51,50.85,4.58,1.0,0.03,17.21,7.79,Medium ,Medium,High,Black,100-300
2014,Chhindwara,99.0,1172.0,93.78,25.6,10.93,2.4,45.7,5.93,0.55,49.01,2.75,1.07,0.03,18.5,8.37,Medium ,Medium,High,Black,100-300
2015,Chhindwara,96.0,885.0,93.84,25.11,11.38,2.3,44.06,6.03,0.54,48.96,3.68,1.04,0.03,18.06,8.15,Medium ,Medium,High,Black,100-300
2016,Chhindwara,73.0,1315.0,93.74,25.79,10.65,2.27,44.42,5.38,0.55,50.02,3.42,1.05,0.03,18.22,8.21,Medium ,Medium,High,Black,100-300
2017,Chhindwara,28.0,1784.0,93.74,25.86,10.47,2.15,44.54,5.3,0.57,42.66,2.56,1.08,0.03,18.88,8.49,Medium ,Medium,High,Black,100-300
2001,Narsinghpur,92.0,1686.0,96.39,26.23,10.59,2.13,47.07,6.53,0.55,50.33,3.06,1.08,0.03,18.33,8.33,Medium ,Medium,High,Mixed Red & Black,50-100
2002,Narsinghpur,70.3,957.0,96.41,27.19,10.03,2.28,46.81,5.98,0.56,45.98,2.81,1.09,0.03,18.71,8.48,Medium ,Medium,High,Mixed Red & Black,50-100
2003,Narsinghpur,62.2,1891.0,96.44,26.37,11.15,2.19,47.25,6.01,0.54,49.48,4.0,1.07,0.03,18.2,8.27,Medium ,Medium,High,Mixed Red & Black,50-100
2004,Narsinghpur,60.19,1720.0,96.43,26.95,10.52,2.16,46.53,5.8,0.57,44.71,2.74,1.11,0.03,18.99,8.6,Medium ,Medium,High,Mixed Red & Black,50-100
2005,Narsinghpur,53.15,1722.0,96.42,26.45,10.43,2.13,46.01,6.61,0.56,48.05,3.94,1.09,0.03,18.67,8.43,Medium ,Medium,High,Mixed Red & Black,50-100
2006,Narsinghpur,52.65,1583.0,96.42,26.66,11.34,2.05,46.18,6.67,0.55,49.42,4.93,1.07,0.03,18.25,8.31,Medium ,Medium,High,Mixed Red & Black,50-100
2007,Narsinghpur,63.0,1294.0,96.4,26.63,10.68,2.03,45.74,8.62,0.56,47.47,3.15,1.1,0.03,18.84,8.52,Medium ,Medium,High,Mixed Red & Black,50-100
2008,Narsinghpur,75.0,1552.0,96.4,26.32,10.68,2.0,44.52,4.71,0.55,47.52,2.8,1.07,0.03,18.51,8.36,Medium ,Medium,High,Mixed Red & Black,50-100
2009,Narsinghpur,79.7,1868.0,96.4,27.02,10.89,2.05,46.27,8.37,0.56,45.15,3.47,1.09,0.03,18.87,8.51,Medium ,Medium,High,Mixed Red & Black,50-100
2010,Narsinghpur,71.0,1948.0,96.39,26.94,11.45,1.97,47.04,5.9,0.56,49.7,3.14,1.09,0.03,18.68,8.47,Medium ,Medium,High,Mixed Red & Black,50-100
