YEAR,DISTRICT,AREA,YIELD,PS,TS,QV2M,WS2M,CLOUD_AMT,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_PAR_TOT,T2M,PRECTOTCORR,RH2M,GWETROOT,GWETPROF,T2M_RANGE,Nitrogen(N),Phosphorous(P),Potassium(K),Soil Type,Soil Depth
1990,Jabalpur,11.27,865.0,95.32,25.25,11.51,2.33,61.48,18.53,8.57,24.75,4.3,58.04,0.74,0.74,36.68,Medium ,Low,High,Black,100-300
1991,Jabalpur,14.95,453.0,95.34,26.13,9.86,2.31,58.48,19.34,8.94,25.48,2.83,48.71,0.68,0.68,43.77,Medium ,Low,High,Black,100-300
1992,Jabalpur,23.82,937.0,95.39,26.12,9.68,2.16,56.65,19.72,9.07,25.42,2.93,47.51,0.67,0.68,42.29,Medium ,Low,High,Black,100-300
1993,Jabalpur,38.7,946.0,95.38,25.43,10.41,2.17,59.93,19.32,8.94,25.02,3.73,51.56,0.71,0.71,40.71,Medium ,Low,High,Black,100-300
1994,Jabalpur,28.5,695.0,95.33,25.61,10.42,2.18,59.48,18.88,8.71,25.01,5.05,52.53,0.71,0.71,40.74,Medium ,Low,High,Black,100-300
1995,Jabalpur,39.2,1112.0,95.34,25.39,10.82,2.12,57.38,18.87,8.81,24.94,3.17,54.34,0.7,0.7,41.8,Medium ,Low,High,Black,100-300
1996,Jabalpur,42.7,977.0,95.31,25.94,10.37,2.11,56.75,18.64,8.64,25.21,2.4,51.86,0.67,0.68,40.49,Medium ,Low,High,Black,100-300
1997,Jabalpur,40.3,747.0,95.44,25.11,11.08,2.2,60.55,18.15,8.43,24.49,3.75,56.96,0.73,0.73,39.14,Medium ,Low,High,Black,100-300
1998,Jabalpur,36.3,625.0,95.36,25.22,11.74,2.06,49.61,18.77,8.74,24.87,2.67,59.17,0.7,0.7,42.58,Medium ,Low,High,Black,100-300
1999,Jabalpur,26.4,955.0,95.28,25.4,10.45,2.15,42.04,18.85,8.61,25.04,4.14,53.08,0.72,0.72,40.23,Medium ,Low,High,Black,100-300
2000,Jabalpur,21.5,749.0,95.26,25.55,9.74,2.18,36.46,19.44,8.93,25.18,2.37,45.89,0.67,0.67,38.15,Medium ,Low,High,Black,100-300
2001,Jabalpur,7.2,944.0,95.32,25.4,10.81,2.13,47.73,18.48,8.4,24.96,3.74,52.52,0.71,0.71,40.41,Medium ,Low,High,Black,100-300
2002,Jabalpur,0.2,1000.0,95.35,26.19,10.22,2.29,44.36,18.68,8.47,25.65,3.03,49.69,0.66,0.67,39.8,Medium ,Low,High,Black,100-300
2003,Jabalpur,0.7,1286.0,95.38,25.64,11.14,2.21,48.43,18.19,8.27,25.1,4.63,56.79,0.73,0.73,41.49,Medium ,Low,High,Black,100-300
2004,Jabalpur,0.74,1365.0,95.38,25.53,10.9,2.08,43.18,18.94,8.58,25.05,3.18,55.22,0.69,0.7,39.43,Medium ,Low,High,Black,100-300
2005,Jabalpur,0.87,885.0,95.36,25.33,10.74,2.06,46.17,18.69,8.44,24.9,4.72,55.1,0.72,0.72,38.95,Medium ,Low,High,Black,100-300
2006,Jabalpur,2.24,969.0,95.36,26.16,11.1,2.1,47.13,18.31,8.33,25.66,2.77,53.41,0.69,0.69,38.79,Medium ,Low,High,Black,100-300
2007,Jabalpur,5.6,625.0,95.35,25.6,10.81,2.06,45.13,18.66,8.44,25.18,3.06,53.47,0.7,0.7,37.87,Medium ,Low,High,Black,100-300
2008,Jabalpur,3.9,1231.0,95.33,25.47,10.79,2.0,46.29,18.48,8.35,24.93,3.4,53.72,0.7,0.71,39.65,Medium ,Low,High,Black,100-300
2009,Jabalpur,2.8,1143.0,95.34,26.53,10.66,2.04,43.44,18.9,8.53,25.94,3.48,51.96,0.68,0.68,37.23,Medium ,Low,High,Black,100-300
2010,Jabalpur,4.2,1381.0,95.33,26.42,11.26,1.95,47.54,18.81,8.53,25.82,3.96,54.97,0.71,0.71,40.99,Medium ,Low,High,Black,100-300
2011,Jabalpur,5.5,927.0,95.32,25.45,11.2,2.0,44.54,18.33,8.32,24.87,4.32,55.89,0.72,0.72,42.38,Medium ,Low,High,Black,100-300
2012,Jabalpur,15.99,1335.0,95.31,25.4,10.58,2.13,46.65,18.26,8.25,24.9,3.74,53.64,0.71,0.71,42.27,Medium ,Low,High,Black,100-300
2013,Jabalpur,43.14,276.0,95.32,25.07,11.84,2.09,49.45,17.52,7.93,24.6,5.54,60.38,0.74,0.75,43.32,Medium ,Low,High,Black,100-300
2014,Jabalpur,43.0,1186.0,95.42,25.48,11.41,2.16,47.0,18.53,8.4,25.0,3.08,57.93,0.69,0.7,42.86,Medium ,Low,High,Black,100-300
2015,Jabalpur,15.0,667.0,95.48,25.6,11.55,2.06,47.9,18.16,8.21,25.06,2.95,57.51,0.68,0.69,40.57,Medium ,Low,High,Black,100-300
2016,Jabalpur,3.0,1000.0,95.38,26.0,11.09,2.03,49.28,18.1,8.17,25.52,3.67,53.94,0.71,0.72,41.66,Medium ,Low,High,Black,100-300
2017,Jabalpur,7.0,477.0,95.37,26.46,10.69,1.99,44.3,18.6,8.38,25.85,2.48,50.89,0.67,0.68,42.21,Medium ,Low,High,Black,100-300
1990,Balaghat,0.27,889.0,95.48,25.36,12.01,2.28,63.0,18.36,8.73,24.9,4.11,60.39,0.72,0.71,36.05,Medium ,Medium,Medium,Black,100-300
1991,Balaghat,0.26,846.0,95.5,26.62,10.23,2.2,57.87,18.99,9.05,25.87,2.83,50.12,0.65,0.65,43.1,Medium ,Medium,Medium,Black,100-300
1992,Balaghat,0.27,1037.0,95.54,26.69,9.92,2.16,53.69,19.56,9.26,25.9,2.95,47.64,0.65,0.64,39.53,Medium ,Medium,Medium,Black,100-300
1993,Balaghat,0.38,1158.0,95.54,25.91,10.7,2.14,59.56,18.85,8.94,25.4,3.84,52.42,0.69,0.69,39.05,Medium ,Medium,Medium,Black,100-300
1994,Balaghat,0.3,667.0,95.49,25.92,10.93,2.2,57.47,18.31,8.64,25.33,4.85,54.66,0.69,0.68,39.45,Medium ,Medium,Medium,Black,100-300
1995,Balaghat,0.3,1333.0,95.49,25.93,11.25,2.04,58.2,18.56,8.88,25.34,3.49,55.63,0.67,0.66,41.53,Medium ,Medium,Medium,Black,100-300
1996,Balaghat,0.3,1333.0,95.46,26.64,10.7,2.1,57.12,18.6,8.89,25.86,2.48,51.74,0.64,0.64,40.33,Medium ,Medium,Medium,Black,100-300
1997,Balaghat,0.3,1333.0,95.6,25.73,11.32,2.14,58.76,17.8,8.49,25.09,3.57,56.9,0.69,0.68,39.23,Medium ,Medium,Medium,Black,100-300
1998,Balaghat,0.3,667.0,95.52,25.64,12.08,2.04,52.97,18.14,8.71,25.22,2.92,60.32,0.68,0.68,42.31,Medium ,Medium,Medium,Black,100-300
1999,Balaghat,0.3,1000.0,95.43,25.87,10.74,2.15,43.05,18.72,8.79,25.4,3.76,54.19,0.69,0.68,40.02,Medium ,Medium,Medium,Black,100-300
2000,Balaghat,0.2,1000.0,95.42,26.15,9.96,2.12,39.51,19.31,9.12,25.64,2.48,46.37,0.64,0.64,37.62,Medium ,Medium,Medium,Black,100-300
2001,Balaghat,0.2,1000.0,95.48,25.81,11.14,2.04,56.46,17.93,8.15,25.43,3.69,53.54,0.69,0.68,39.03,Medium ,Medium,Medium,Black,100-300
2002,Balaghat,0.2,1000.0,95.51,26.57,10.53,2.2,51.66,18.68,8.47,26.02,2.93,50.22,0.64,0.64,38.2,Medium ,Medium,Medium,Black,100-300
2003,Balaghat,0.1,2000.0,95.53,26.13,11.46,2.14,57.15,18.02,8.21,25.61,4.38,57.16,0.71,0.7,40.77,Medium ,Medium,Medium,Black,100-300
2004,Balaghat,0.13,1231.0,95.54,26.09,11.16,2.0,49.57,18.87,8.55,25.49,2.97,55.29,0.66,0.66,38.56,Medium ,Medium,Medium,Black,100-300
2005,Balaghat,0.12,1417.0,95.52,25.75,11.04,2.03,54.29,18.16,8.21,25.3,4.46,55.79,0.7,0.69,38.27,Medium ,Medium,Medium,Black,100-300
2006,Balaghat,0.1,1300.0,95.52,26.37,11.54,2.02,52.09,18.21,8.27,25.84,3.3,55.38,0.67,0.67,38.13,Medium ,Medium,Medium,Black,100-300
2007,Balaghat,0.1,1000.0,95.5,26.17,11.06,2.01,52.24,18.48,8.36,25.59,3.45,54.13,0.68,0.68,36.27,Medium ,Medium,Medium,Black,100-300
2008,Balaghat,0.1,1000.0,95.49,25.93,10.99,1.96,52.93,18.33,8.28,25.37,3.26,54.0,0.68,0.68,38.52,Medium ,Medium,Medium,Black,100-300
2009,Balaghat,0.1,1000.0,95.49,27.03,10.95,2.0,50.12,18.85,8.48,26.38,3.35,52.36,0.67,0.66,37.18,Medium ,Medium,Medium,Black,100-300
2010,Balaghat,0.1,1000.0,95.49,26.9,11.58,1.96,54.92,18.26,8.28,26.24,4.13,55.58,0.69,0.69,39.97,Medium ,Medium,Medium,Black,100-300
2011,Balaghat,0.1,2000.0,95.48,25.78,11.48,1.93,49.4,18.23,8.24,25.21,4.04,56.26,0.68,0.68,40.0,Medium ,Medium,Medium,Black,100-300
2012,Balaghat,0.04,1500.0,95.46,25.97,10.84,2.08,53.06,17.86,8.05,25.42,4.0,53.92,0.68,0.68,41.12,Medium ,Medium,Medium,Black,100-300
2013,Balaghat,0.05,600.0,95.47,25.81,12.0,2.02,55.83,17.17,7.78,25.22,5.34,59.84,0.72,0.71,40.65,Medium ,Medium,Medium,Black,100-300
2014,Balaghat,0.0,0.0,95.58,26.01,11.63,2.12,55.2,18.0,8.14,25.41,3.25,57.78,0.67,0.66,41.33,Medium ,Medium,Medium,Black,100-300
2015,Balaghat,0.0,0.0,95.64,25.92,11.92,1.99,53.33,18.03,8.12,25.38,3.39,58.27,0.67,0.67,39.72,Medium ,Medium,Medium,Black,100-300
2016,Balaghat,0.0,0.0,95.54,26.59,11.28,2.0,55.55,17.9,8.06,26.01,3.06,53.75,0.68,0.67,40.32,Medium ,Medium,Medium,Black,100-300
2017,Balaghat,0.01,1000.0,95.53,26.97,10.92,1.92,46.19,18.76,8.42,26.31,2.74,51.21,0.65,0.64,40.15,Medium ,Medium,Medium,Black,100-300
1990,Chhindwara,89.52,1359.0,93.68,24.45,11.57,2.53,58.8,17.74,8.49,23.99,3.8,60.02,0.74,0.74,34.41,Medium ,Medium,High,Black,100-300
1991,Chhindwara,110.34,787.0,93.7,25.76,9.61,2.49,51.31,19.15,9.1,24.98,2.44,48.26,0.67,0.67,41.36,Medium ,Medium,High,Black,100-300
1992,Chhindwara,119.93,1009.0,93.74,25.84,9.4,2.4,52.85,19.48,9.24,25.01,2.46,46.96,0.67,0.67,38.52,Medium ,Medium,High,Black,100-300
1993,Chhindwara,116.37,1217.0,93.74,24.97,10.29,2.4,54.25,19.26,9.17,24.45,3.67,52.22,0.72,0.71,38.45,Medium ,Medium,High,Black,100-300
1994,Chhindwara,129.9,967.0,93.69,24.74,10.47,2.43,52.0,19.0,9.01,24.22,4.33,54.66,0.71,0.71,38.57,Medium ,Medium,High,Black,100-300
1995,Chhindwara,133.7,826.0,93.69,25.13,10.69,2.27,51.66,19.13,9.15,24.5,3.09,54.31,0.69,0.69,40.26,Medium ,Medium,High,Black,100-300
1996,Chhindwara,130.1,1141.0,93.66,25.64,10.26,2.33,50.17,19.23,9.17,24.88,2.94,51.41,0.68,0.68,38.59,Medium ,Medium,High,Black,100-300
1997,Chhindwara,134.8,1152.0,93.8,24.71,11.04,2.35,52.41,18.95,9.08,24.05,3.4,57.61,0.71,0.7,37.71,Medium ,Medium,High,Black,100-300
1998,Chhindwara,128.1,615.0,93.71,24.8,11.61,2.21,46.99,18.87,9.02,24.39,3.07,59.54,0.73,0.73,39.88,Medium ,Medium,High,Black,100-300
1999,Chhindwara,74.2,916.0,93.65,24.77,10.37,2.41,42.1,18.59,8.77,24.35,3.25,54.08,0.72,0.71,38.51,Medium ,Medium,High,Black,100-300
2000,Chhindwara,87.0,824.0,93.63,25.2,9.51,2.38,37.4,19.42,9.2,24.72,2.47,45.77,0.67,0.67,36.07,Medium ,Medium,High,Black,100-300
2001,Chhindwara,90.3,748.0,93.68,24.9,10.6,2.27,50.33,18.33,8.33,24.54,3.03,52.45,0.7,0.7,37.72,Medium ,Medium,High,Black,100-300
2002,Chhindwara,100.7,741.0,93.72,25.77,10.1,2.42,45.98,18.71,8.48,25.23,2.73,49.17,0.67,0.67,37.17,Medium ,Medium,High,Black,100-300
2003,Chhindwara,109.6,1448.0,93.73,25.29,10.98,2.35,49.48,18.2,8.27,24.74,3.77,56.24,0.73,0.72,39.18,Medium ,Medium,High,Black,100-300
2004,Chhindwara,140.09,836.0,93.74,25.68,10.43,2.27,44.71,18.99,8.6,24.91,2.43,52.42,0.67,0.67,37.63,Medium ,Medium,High,Black,100-300
2005,Chhindwara,128.63,891.0,93.72,25.05,10.43,2.28,48.05,18.67,8.43,24.53,3.62,53.73,0.71,0.71,36.53,Medium ,Medium,High,Black,100-300
2006,Chhindwara,139.8,1365.0,93.73,25.25,11.29,2.18,49.42,18.25,8.31,24.8,4.3,56.33,0.71,0.71,37.14,Medium ,Medium,High,Black,100-300
2007,Chhindwara,144.6,1498.0,93.7,25.51,10.49,2.18,47.47,18.84,8.52,24.85,2.99,52.33,0.7,0.69,34.03,Medium ,Medium,High,Black,100-300
2008,Chhindwara,147.9,1193.0,93.69,25.17,10.44,2.18,47.52,18.51,8.36,24.6,2.66,52.33,0.7,0.69,37.24,Medium ,Medium,High,Black,100-300
2009,Chhindwara,157.2,1692.0,93.7,25.95,10.66,2.25,45.15,18.87,8.51,25.35,3.17,52.74,0.7,0.69,36.24,Medium ,Medium,High,Black,100-300
2010,Chhindwara,161.6,1786.0,93.69,25.85,11.38,2.15,49.7,18.68,8.47,25.22,3.64,56.75,0.72,0.72,38.35,Medium ,Medium,High,Black,100-300
2011,Chhindwara,184.7,1737.0,93.67,25.11,10.88,2.14,45.48,18.29,8.28,24.48,3.33,54.63,0.71,0.7,39.26,Medium ,Medium,High,Black,100-300
2012,Chhindwara,153.73,2488.0,93.67,25.18,10.36,2.4,48.18,18.21,8.21,24.59,3.46,52.29,0.7,0.7,37.49,Medium ,Medium,High,Black,100-300
2013,Chhindwara,150.01,769.0,93.67,25.03,11.53,2.31,50.85,17.21,7.79,24.41,4.58,59.0,0.74,0.73,38.74,Medium ,Medium,High,Black,100-300
2014,Chhindwara,99.0,1172.0,93.78,25.6,10.93,2.4,49.01,18.5,8.37,24.82,2.75,55.01,0.68,0.67,39.77,Medium ,Medium,High,Black,100-300
2015,Chhindwara,96.0,885.0,93.84,25.11,11.38,2.3,48.96,18.06,8.15,24.51,3.68,57.32,0.7,0.7,38.03,Medium ,Medium,High,Black,100-300
2016,Chhindwara,73.0,1315.0,93.74,25.79,10.65,2.27,50.02,18.22,8.21,25.17,3.42,52.12,0.7,0.7,39.04,Medium ,Medium,High,Black,100-300
2017,Chhindwara,28.0,1784.0,93.74,25.86,10.47,2.15,42.66,18.88,8.49,25.25,2.56,50.93,0.68,0.68,39.24,Medium ,Medium,High,Black,100-300
1990,Narsinghpur,49.76,1068.0,96.38,25.83,11.63,2.32,58.8,17.74,8.49,25.37,4.46,57.02,0.74,0.73,36.72,Medium ,Medium,High,Mixed Red & Black,50-100
1991,Narsinghpur,63.13,1208.0,96.4,26.95,9.66,2.36,51.31,19.15,9.1,26.25,2.95,45.79,0.68,0.68,43.75,Medium ,Medium,High,Mixed Red & Black,50-100
1992,Narsinghpur,76.9,1415.0,96.45,26.99,9.49,2.18,52.85,19.48,9.24,26.22,2.52,45.27,0.67,0.67,42.24,Medium ,Medium,High,Mixed Red & Black,50-100
1993,Narsinghpur,92.02,1428.0,96.45,26.29,10.36,2.21,54.25,19.26,9.17,25.78,3.71,49.97,0.71,0.7,41.43,Medium ,Medium,High,Mixed Red & Black,50-100
1994,Narsinghpur,78.8,967.0,96.4,26.05,10.42,2.2,52.0,19.0,9.01,25.56,4.58,51.41,0.72,0.71,41.96,Medium ,Medium,High,Mixed Red & Black,50-100
1995,Narsinghpur,101.4,1672.0,96.4,26.39,10.67,2.17,51.66,19.13,9.15,25.81,3.02,51.67,0.69,0.68,41.74,Medium ,Medium,High,Mixed Red & Black,50-100
1996,Narsinghpur,113.3,1615.0,96.37,26.55,10.44,2.13,50.17,19.23,9.17,25.87,3.83,50.99,0.69,0.69,41.88,Medium ,Medium,High,Mixed Red & Black,50-100
1997,Narsinghpur,121.6,1415.0,96.51,25.67,11.27,2.19,52.41,18.95,9.08,25.12,3.97,56.24,0.72,0.72,39.94,Medium ,Medium,High,Mixed Red & Black,50-100
1998,Narsinghpur,117.8,1167.0,96.42,26.11,11.7,2.08,46.99,18.87,9.02,25.69,3.08,57.09,0.72,0.72,43.7,Medium ,Medium,High,Mixed Red & Black,50-100
1999,Narsinghpur,123.1,1221.0,96.36,25.98,10.47,2.18,42.1,18.59,8.77,25.6,3.39,51.8,0.71,0.71,40.28,Medium ,Medium,High,Mixed Red & Black,50-100
2000,Narsinghpur,113.6,1040.0,96.33,26.35,9.55,2.24,37.4,19.42,9.2,25.93,2.67,43.27,0.67,0.67,39.01,Medium ,Medium,High,Mixed Red & Black,50-100
2001,Narsinghpur,92.0,1686.0,96.39,26.23,10.59,2.13,50.33,18.33,8.33,25.76,3.06,49.34,0.7,0.69,40.54,Medium ,Medium,High,Mixed Red & Black,50-100
2002,Narsinghpur,70.3,957.0,96.41,27.19,10.03,2.28,45.98,18.71,8.48,26.61,2.81,46.29,0.66,0.66,40.83,Medium ,Medium,High,Mixed Red & Black,50-100
2003,Narsinghpur,62.2,1891.0,96.44,26.37,11.15,2.19,49.48,18.2,8.27,25.82,4.0,55.21,0.73,0.73,41.24,Medium ,Medium,High,Mixed Red & Black,50-100
2004,Narsinghpur,60.19,1720.0,96.43,26.95,10.52,2.16,44.71,18.99,8.6,26.24,2.74,50.41,0.67,0.67,40.73,Medium ,Medium,High,Mixed Red & Black,50-100
2005,Narsinghpur,53.15,1722.0,96.42,26.45,10.43,2.13,48.05,18.67,8.43,25.85,3.94,50.95,0.7,0.7,39.4,Medium ,Medium,High,Mixed Red & Black,50-100
2006,Narsinghpur,52.65,1583.0,96.42,26.66,11.34,2.05,49.42,18.25,8.31,26.23,4.93,53.26,0.71,0.7,39.51,Medium ,Medium,High,Mixed Red & Black,50-100
2007,Narsinghpur,63.0,1294.0,96.4,26.63,10.68,2.03,47.47,18.84,8.52,26.1,3.15,50.62,0.7,0.69,37.12,Medium ,Medium,High,Mixed Red & Black,50-100
2008,Narsinghpur,75.0,1552.0,96.4,26.32,10.68,2.0,47.52,18.51,8.36,25.74,2.8,50.96,0.7,0.69,39.81,Medium ,Medium,High,Mixed Red & Black,50-100
2009,Narsinghpur,79.7,1868.0,96.4,27.02,10.89,2.05,45.15,18.87,8.51,26.47,3.47,52.03,0.69,0.69,37.9,Medium ,Medium,High,Mixed Red & Black,50-100
2010,Narsinghpur,71.0,1948.0,96.39,26.94,11.45,1.97,49.7,18.68,8.47,26.4,3.14,55.0,0.71,0.71,41.14,Medium ,Medium,High,Mixed Red & Black,50-100
2011,Narsinghpur,99.2,1571.0,96.38,26.38,11.07,2.04,45.48,18.29,8.28,25.7,4.17,53.43,0.71,0.71,43.24,Medium ,Medium,High,Mixed Red & Black,50-100
2012,Narsinghpur,94.14,1789.0,96.37,26.37,10.44,2.21,48.18,18.21,8.21,25.75,3.6,50.34,0.7,0.69,41.69,Medium ,Medium,High,Mixed Red & Black,50-100
2013,Narsinghpur,101.85,394.0,96.38,26.04,11.78,2.14,50.85,17.21,7.79,25.48,4.9,57.56,0.72,0.72,43.72,Medium ,Medium,High,Mixed Red & Black,50-100
2014,Narsinghpur,85.0,1306.0,96.48,26.7,11.15,2.24,49.01,18.5,8.37,26.01,2.95,54.32,0.69,0.68,43.25,Medium ,Medium,High,Mixed Red & Black,50-100
2015,Narsinghpur,68.0,721.0,96.54,26.52,11.41,2.14,48.96,18.06,8.15,25.88,3.53,55.0,0.69,0.69,42.2,Medium ,Medium,High,Mixed Red & Black,50-100
2016,Narsinghpur,52.0,1385.0,96.44,26.9,10.83,2.1,50.02,18.22,8.21,26.33,4.12,50.89,0.71,0.7,42.17,Medium ,Medium,High,Mixed Red & Black,50-100
2017,Narsinghpur,43.5,313.0,96.43,27.17,10.58,2.07,42.66,18.88,8.49,26.55,2.45,48.6,0.67,0.67,43.44,Medium ,Medium,High,Mixed Red & Black,50-100
1990,Seoni,58.85,938.0,94.53,24.91,11.77,2.46,63.34,18.11,8.69,24.43,3.83,60.26,0.74,0.73,35.32,Medium ,Medium,Medium,Black,100-300
1991,Seoni,83.97,556.0,94.55,26.17,9.93,2.38,59.1,18.85,9.01,25.39,2.59,49.4,0.66,0.67,42.5,Medium ,Medium,Medium,Black,100-300
1992,Seoni,102.07,861.0,94.59,26.33,9.63,2.32,55.62,19.53,9.23,25.48,2.66,47.31,0.66,0.66,39.27,Medium ,Medium,Medium,Black,100-300
1993,Seoni,96.95,993.0,94.59,25.47,10.5,2.31,59.97,18.95,9.04,24.92,3.7,52.34,0.71,0.71,39.14,Medium ,Medium,Medium,Black,100-300
1994,Seoni,71.7,743.0,94.54,25.3,10.71,2.34,59.69,18.35,8.73,24.75,4.54,54.88,0.71,0.71,39.58,Medium ,Medium,Medium,Black,100-300
1995,Seoni,84.2,1229.0,94.54,25.48,10.99,2.18,58.9,18.57,8.95,24.87,3.3,55.31,0.69,0.69,41.02,Medium ,Medium,Medium,Black,100-300
1996,Seoni,91.0,1133.0,94.51,26.19,10.44,2.27,57.31,18.39,8.82,25.37,2.54,51.48,0.67,0.67,39.92,Medium ,Medium,Medium,Black,100-300
1997,Seoni,96.2,898.0,94.65,25.33,11.13,2.28,63.1,17.94,8.63,24.61,3.37,56.93,0.7,0.69,38.52,Medium ,Medium,Medium,Black,100-300
1998,Seoni,84.8,434.0,94.57,25.11,11.87,2.14,51.77,18.21,8.81,24.72,2.95,60.31,0.72,0.71,41.31,Medium ,Medium,Medium,Black,100-300
1999,Seoni,74.0,953.0,94.49,25.31,10.55,2.33,43.31,18.74,8.84,24.84,3.53,54.29,0.71,0.71,39.8,Medium ,Medium,Medium,Black,100-300
2000,Seoni,71.6,525.0,94.47,25.69,9.72,2.3,37.99,19.48,9.21,25.17,2.42,46.05,0.66,0.66,37.25,Medium ,Medium,Medium,Black,100-300
2001,Seoni,67.5,1110.0,94.53,25.34,10.88,2.19,50.8,18.3,8.3,24.96,3.38,53.07,0.7,0.7,38.63,Medium ,Medium,Medium,Black,100-300
2002,Seoni,67.6,914.0,94.57,26.13,10.34,2.34,47.25,18.64,8.44,25.59,2.87,49.99,0.66,0.66,38.45,Medium ,Medium,Medium,Black,100-300
2003,Seoni,72.1,1169.0,94.58,25.71,11.23,2.29,50.61,18.16,8.25,25.15,4.04,56.83,0.72,0.72,40.61,Medium ,Medium,Medium,Black,100-300
2004,Seoni,95.41,856.0,94.59,25.9,10.78,2.15,45.01,19.04,8.61,25.19,2.63,53.93,0.67,0.67,38.98,Medium ,Medium,Medium,Black,100-300
2005,Seoni,86.56,827.0,94.57,25.36,10.74,2.18,49.24,18.43,8.32,24.87,4.0,55.01,0.71,0.71,37.95,Medium ,Medium,Medium,Black,100-300
2006,Seoni,99.85,1108.0,94.58,25.79,11.39,2.14,50.07,18.19,8.26,25.3,3.61,55.81,0.7,0.7,37.98,Medium ,Medium,Medium,Black,100-300
2007,Seoni,110.1,977.0,94.55,25.84,10.76,2.12,48.05,18.7,8.44,25.2,3.1,53.25,0.69,0.69,35.28,Medium ,Medium,Medium,Black,100-300
2008,Seoni,113.5,1056.0,94.54,25.5,10.72,2.09,49.47,18.47,8.33,24.94,2.98,53.31,0.7,0.69,38.0,Medium ,Medium,Medium,Black,100-300
2009,Seoni,113.2,1090.0,94.55,26.5,10.81,2.16,46.59,18.9,8.51,25.86,3.24,52.62,0.69,0.69,36.93,Medium ,Medium,Medium,Black,100-300
2010,Seoni,120.2,1136.0,94.54,26.4,11.48,2.1,49.83,18.67,8.45,25.72,4.04,56.3,0.72,0.71,39.58,Medium ,Medium,Medium,Black,100-300
2011,Seoni,117.8,963.0,94.53,25.38,11.21,2.06,47.61,18.19,8.22,24.78,3.53,55.85,0.7,0.7,40.41,Medium ,Medium,Medium,Black,100-300
2012,Seoni,118.99,1241.0,94.51,25.59,10.59,2.28,49.65,18.09,8.14,25.0,3.67,53.21,0.7,0.7,39.2,Medium ,Medium,Medium,Black,100-300
2013,Seoni,106.49,258.0,94.52,25.43,11.76,2.2,52.32,17.35,7.85,24.8,4.97,59.59,0.73,0.73,40.19,Medium ,Medium,Medium,Black,100-300
2014,Seoni,80.0,1288.0,94.63,25.81,11.28,2.31,51.05,18.25,8.25,25.11,2.9,56.48,0.67,0.67,40.59,Medium ,Medium,Medium,Black,100-300
2015,Seoni,33.0,636.0,94.69,25.46,11.68,2.18,51.29,18.07,8.15,24.9,3.48,58.03,0.69,0.69,39.18,Medium ,Medium,Medium,Black,100-300
2016,Seoni,26.0,1385.0,94.59,26.17,10.98,2.16,52.19,18.15,8.18,25.54,3.09,53.24,0.7,0.7,40.24,Medium ,Medium,Medium,Black,100-300
2017,Seoni,31.0,88.0,94.59,26.41,10.7,2.07,45.56,18.74,8.42,25.78,2.71,51.1,0.67,0.67,39.93,Medium ,Medium,Medium,Black,100-300
1990,Mandla,5.21,1015.0,94.04,24.43,11.64,2.3,62.17,17.79,8.68,24.03,4.25,60.16,0.74,0.74,35.17,Medium ,High,Medium,Black,100-300
1991,Mandla,7.25,654.0,94.06,25.62,9.96,2.28,57.57,18.59,9.0,24.98,2.97,50.03,0.68,0.67,42.68,Medium ,High,Medium,Black,100-300
1992,Mandla,10.1,861.0,94.1,25.46,9.76,2.18,53.85,19.19,9.24,24.83,2.99,48.45,0.67,0.67,40.55,Medium ,High,Medium,Black,100-300
1993,Mandla,11.58,993.0,94.1,24.88,10.38,2.16,58.05,18.5,8.97,24.49,3.82,52.27,0.71,0.71,38.86,Medium ,High,Medium,Black,100-300
1994,Mandla,6.4,672.0,94.05,25.04,10.58,2.21,57.96,18.12,8.76,24.49,4.71,54.1,0.72,0.72,39.65,Medium ,High,Medium,Black,100-300
1995,Mandla,9.9,960.0,94.06,24.83,10.9,2.11,58.1,18.1,8.89,24.38,3.38,55.69,0.69,0.69,41.75,Medium ,High,Medium,Black,100-300
1996,Mandla,12.1,893.0,94.03,25.31,10.49,2.12,55.35,18.27,8.91,24.66,2.7,53.12,0.68,0.68,39.09,Medium ,High,Medium,Black,100-300
1997,Mandla,13.0,938.0,94.16,24.47,11.08,2.19,60.79,17.68,8.65,23.94,3.99,58.13,0.72,0.72,38.85,Medium ,High,Medium,Black,100-300
1998,Mandla,12.9,752.0,94.08,24.66,11.77,2.07,52.03,17.73,8.69,24.33,2.95,60.6,0.71,0.7,42.24,Medium ,High,Medium,Black,100-300
1999,Mandla,1.5,733.0,94.0,24.95,10.41,2.16,45.07,18.38,8.77,24.56,3.71,53.81,0.71,0.71,39.42,Medium ,High,Medium,Black,100-300
2000,Mandla,0.7,429.0,93.98,25.11,9.73,2.17,40.23,18.94,9.05,24.69,2.37,46.68,0.66,0.66,37.38,Medium ,High,Medium,Black,100-300
2001,Mandla,0.4,750.0,94.04,24.93,10.8,2.18,54.04,17.77,8.03,24.52,3.92,53.48,0.71,0.7,39.15,Medium ,High,Medium,Black,100-300
2002,Mandla,0.2,500.0,94.08,25.52,10.24,2.27,50.06,18.37,8.3,25.05,2.88,50.67,0.66,0.66,38.04,Medium ,High,Medium,Black,100-300
2003,Mandla,0.2,1000.0,94.09,25.02,11.14,2.22,54.27,17.8,8.07,24.59,4.33,57.61,0.73,0.72,40.37,Medium ,High,Medium,Black,100-300
