"Dist Code","Year","State Code","State Name","Dist Name","SOYABEAN AREA (1000 ha)","SOYABEAN YIELD (Kg per ha)"
"7","1990","6","Madhya Pradesh","Jabalpur","11.27","865.0"
"7","1991","6","Madhya Pradesh","Jabalpur","14.95","453.0"
"7","1992","6","Madhya Pradesh","Jabalpur","23.82","937.0"
"7","1993","6","Madhya Pradesh","Jabalpur","38.7","946.0"
"7","1994","6","Madhya Pradesh","Jabalpur","28.5","695.0"
"7","1995","6","Madhya Pradesh","Jabalpur","39.2","1112.0"
"7","1996","6","Madhya Pradesh","Jabalpur","42.7","977.0"
"7","1997","6","Madhya Pradesh","Jabalpur","40.3","747.0"
"7","1998","6","Madhya Pradesh","Jabalpur","36.3","625.0"
"7","1999","6","Madhya Pradesh","Jabalpur","26.4","955.0"
"7","2000","6","Madhya Pradesh","Jabalpur","21.5","749.0"
"7","2001","6","Madhya Pradesh","Jabalpur","7.2","944.0"
"7","2002","6","Madhya Pradesh","Jabalpur","0.2","1000.0"
"7","2003","6","Madhya Pradesh","Jabalpur","0.7","1286.0"
"7","2004","6","Madhya Pradesh","Jabalpur","0.74","1365.0"
"7","2005","6","Madhya Pradesh","Jabalpur","0.87","885.0"
"7","2006","6","Madhya Pradesh","Jabalpur","2.24","969.0"
"7","2007","6","Madhya Pradesh","Jabalpur","5.6","625.0"
"7","2008","6","Madhya Pradesh","Jabalpur","3.9","1231.0"
"7","2009","6","Madhya Pradesh","Jabalpur","2.8","1143.0"
"7","2010","6","Madhya Pradesh","Jabalpur","4.2","1381.0"
"7","2011","6","Madhya Pradesh","Jabalpur","5.5","927.0"
"7","2012","6","Madhya Pradesh","Jabalpur","15.99","1335.0"
"7","2013","6","Madhya Pradesh","Jabalpur","43.14","276.0"
"7","2014","6","Madhya Pradesh","Jabalpur","43.0","1186.0"
"7","2015","6","Madhya Pradesh","Jabalpur","15.0","667.0"
"7","2016","6","Madhya Pradesh","Jabalpur","3.0","1000.0"
"7","2017","6","Madhya Pradesh","Jabalpur","7.0","477.0"
"8","1990","6","Madhya Pradesh","Balaghat","0.27","889.0"
"8","1991","6","Madhya Pradesh","Balaghat","0.26","846.0"
"8","1992","6","Madhya Pradesh","Balaghat","0.27","1037.0"
"8","1993","6","Madhya Pradesh","Balaghat","0.38","1158.0"
"8","1994","6","Madhya Pradesh","Balaghat","0.3","667.0"
"8","1995","6","Madhya Pradesh","Balaghat","0.3","1333.0"
"8","1996","6","Madhya Pradesh","Balaghat","0.3","1333.0"
"8","1997","6","Madhya Pradesh","Balaghat","0.3","1333.0"
"8","1998","6","Madhya Pradesh","Balaghat","0.3","667.0"
"8","1999","6","Madhya Pradesh","Balaghat","0.3","1000.0"
"8","2000","6","Madhya Pradesh","Balaghat","0.2","1000.0"
"8","2001","6","Madhya Pradesh","Balaghat","0.2","1000.0"
"8","2002","6","Madhya Pradesh","Balaghat","0.2","1000.0"
"8","2003","6","Madhya Pradesh","Balaghat","0.1","2000.0"
"8","2004","6","Madhya Pradesh","Balaghat","0.13","1231.0"
"8","2005","6","Madhya Pradesh","Balaghat","0.12","1417.0"
"8","2006","6","Madhya Pradesh","Balaghat","0.1","1300.0"
"8","2007","6","Madhya Pradesh","Balaghat","0.1","1000.0"
"8","2008","6","Madhya Pradesh","Balaghat","0.1","1000.0"
"8","2009","6","Madhya Pradesh","Balaghat","0.1","1000.0"
"8","2010","6","Madhya Pradesh","Balaghat","0.1","1000.0"
"8","2011","6","Madhya Pradesh","Balaghat","0.1","2000.0"
"8","2012","6","Madhya Pradesh","Balaghat","0.04","1500.0"
"8","2013","6","Madhya Pradesh","Balaghat","0.05","600.0"
"8","2014","6","Madhya Pradesh","Balaghat","0.0","0.0"
"8","2015","6","Madhya Pradesh","Balaghat","0.0","0.0"
"8","2016","6","Madhya Pradesh","Balaghat","0.0","0.0"
"8","2017","6","Madhya Pradesh","Balaghat","0.01","1000.0"
"9","1990","6","Madhya Pradesh","Chhindwara","89.52","1359.0"
"9","1991","6","Madhya Pradesh","Chhindwara","110.34","787.0"
"9","1992","6","Madhya Pradesh","Chhindwara","119.93","1009.0"
"9","1993","6","Madhya Pradesh","Chhindwara","116.37","1217.0"
"9","1994","6","Madhya Pradesh","Chhindwara","129.9","967.0"
"9","1995","6","Madhya Pradesh","Chhindwara","133.7","826.0"
"9","1996","6","Madhya Pradesh","Chhindwara","130.1","1141.0"
"9","1997","6","Madhya Pradesh","Chhindwara","134.8","1152.0"
"9","1998","6","Madhya Pradesh","Chhindwara","128.1","615.0"
"9","1999","6","Madhya Pradesh","Chhindwara","74.2","916.0"
"9","2000","6","Madhya Pradesh","Chhindwara","87.0","824.0"
"9","2001","6","Madhya Pradesh","Chhindwara","90.3","748.0"
"9","2002","6","Madhya Pradesh","Chhindwara","100.7","741.0"
"9","2003","6","Madhya Pradesh","Chhindwara","109.6","1448.0"
"9","2004","6","Madhya Pradesh","Chhindwara","140.09","836.0"
"9","2005","6","Madhya Pradesh","Chhindwara","128.63","891.0"
